,Business,Entertainment,Politics,Sport,Tech
0,0.63125,0.8775510204081632,0.7546296296296297,0.7171717171717171,0.5427631578947368
1,0.7191011235955056,0.5663716814159292,0.41025641025641024,1.0961538461538463,0.6912751677852349
2,0.803030303030303,0.7912087912087912,0.49612403100775193,0.45893719806763283,1.1081081081081081
3,0.6299559471365639,0.6992481203007519,0.7909090909090909,0.9911504424778761,0.6493506493506493
4,0.6585365853658537,0.8295454545454546,0.3419354838709677,0.8536585365853658,0.3125
5,1.0133333333333334,0.8645833333333334,0.7586206896551724,1.0289855072463767,0.4201954397394137
6,0.9246575342465754,0.6713286713286714,0.37083333333333335,1.11864406779661,0.7358490566037735
7,0.6497175141242938,0.467005076142132,0.541095890410959,1.2230769230769232,0.8064516129032258
8,0.9714285714285714,0.6573426573426573,0.36059479553903345,0.5568181818181818,0.18591549295774648
9,1.1237113402061856,0.5597014925373134,0.9466666666666667,0.7924528301886793,0.43775100401606426
10,0.8181818181818182,0.6724137931034483,0.5454545454545454,0.7083333333333334,0.4249084249084249
11,0.762589928057554,0.5714285714285714,0.5148514851485149,0.9,0.8691588785046729
12,0.859375,0.39593908629441626,0.3938356164383562,0.6382978723404256,0.5471014492753623
13,0.5517241379310345,0.7380952380952381,0.5701754385964912,0.5196078431372549,0.5271317829457365
14,0.42517006802721086,0.948905109489051,0.8048780487804879,1.141025641025641,0.9435483870967742
15,0.7416666666666667,0.3641160949868074,0.9915254237288136,0.7933884297520661,0.2486910994764398
16,0.8041237113402062,0.18125,1.1044776119402986,0.6788990825688074,0.40186915887850466
17,0.9859154929577465,1.125,0.7238095238095238,1.084033613445378,0.6751592356687898
18,1.0776699029126213,0.7285714285714285,0.3253424657534247,0.953125,0.5974025974025974
19,0.4896551724137931,0.8909090909090909,0.3755868544600939,0.9,0.4931506849315068
20,0.7692307692307693,0.5888324873096447,0.41702127659574467,0.6764705882352942,0.6758241758241759
21,0.576271186440678,0.5061728395061729,0.5812807881773399,0.6727272727272727,0.7333333333333333
22,1.021978021978022,0.6643356643356644,0.6666666666666666,0.4883720930232558,0.4326923076923077
